hotel_id,name,price,price_in_table,distance,type_room,room_size,hotel_star,sea_view,mountain_view,city_view,room_name,number_of_guests,private_bathroom,private_pool,rooftop_pool,minibar,barbecue,soundproofing,sauna,spa_bath,garden_view,number_of_bedrooms,url
1,Minh Phước Villa,"VND 7,695,000","VND 7,695,000",5.3 km from centre,Entire villa,400 m²,0,1.0,1.0,1.0,Villa with Sea View,14,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,https://www.booking.com/hotel/vn/minh-phuoc-villa.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaPQBiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuALfh_mzBsACAdICJGVhYTdkNjZiLTQ5NjEtNDRlMy05YTkwLTRlZDA2NDgxYjQ2Y9gCBeACAQ&sid=20394c3452926236aad651478adb440c&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-14&checkout=2024-08-15&dest_id=-3733750&dest_type=city&group_adults=5&req_adults=5&no_rooms=2&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=ht_id%3D213&srpvid=9a3a36b405230c95&srepoch=1720165941&all_sr_blocks=383675201_375813134_14_0_0&highlighted_blocks=383675201_375813134_14_0_0&matching_block_id=383675201_375813134_14_0_0&sr_pri_blocks=383675201_375813134_14_0_0__769500000&from=searchresults
2,Minh Phước Villa 12 Kim Ngân,"VND 10,350,000","VND 10,350,000",1.3 km from centre,Entire villa,450 m²,0,1.0,0.0,1.0,Villa,14,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,8.0,https://www.booking.com/hotel/vn/minh-phuoc-villa-12-kim-ngan.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaPQBiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuALfh_mzBsACAdICJGVhYTdkNjZiLTQ5NjEtNDRlMy05YTkwLTRlZDA2NDgxYjQ2Y9gCBeACAQ&sid=20394c3452926236aad651478adb440c&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-14&checkout=2024-08-15&dest_id=-3733750&dest_type=city&group_adults=5&req_adults=5&no_rooms=2&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=ht_id%3D213&srpvid=9a3a36b405230c95&srepoch=1720165941&all_sr_blocks=933697301_372568216_14_0_0&highlighted_blocks=933697301_372568216_14_0_0&matching_block_id=933697301_372568216_14_0_0&sr_pri_blocks=933697301_372568216_14_0_0__1035000000&from=searchresults
3,Đặng Diễm My Homestay 30/8,"VND 2,500,000","VND 2,500,000",1.8 km from centre,Entire villa,500 m²,0,0.0,0.0,0.0,Villa,15,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,https://www.booking.com/hotel/vn/dang-diem-my-homestay-30-8.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaPQBiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuALfh_mzBsACAdICJGVhYTdkNjZiLTQ5NjEtNDRlMy05YTkwLTRlZDA2NDgxYjQ2Y9gCBeACAQ&sid=20394c3452926236aad651478adb440c&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-14&checkout=2024-08-15&dest_id=-3733750&dest_type=city&group_adults=5&req_adults=5&no_rooms=2&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=ht_id%3D213&srpvid=9a3a36b405230c95&srepoch=1720165941&all_sr_blocks=1015411601_387896303_15_0_0&highlighted_blocks=1015411601_387896303_15_0_0&matching_block_id=1015411601_387896303_15_0_0&sr_pri_blocks=1015411601_387896303_15_0_0__250000000&from=searchresults
4,"T-Maison Boutique Villa, with Pool, Karaoke, Billiards, near beach, Vung Tau","VND 6,381,760","VND 6,381,760",5.5 km from centre,Entire villa,450 m²,0,0.0,0.0,0.0,Villa with Private Pool,15,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,https://www.booking.com/hotel/vn/t-maison-villa-mediterranean-style-near-beach.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaPQBiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuALfh_mzBsACAdICJGVhYTdkNjZiLTQ5NjEtNDRlMy05YTkwLTRlZDA2NDgxYjQ2Y9gCBeACAQ&sid=20394c3452926236aad651478adb440c&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-14&checkout=2024-08-15&dest_id=-3733750&dest_type=city&group_adults=5&req_adults=5&no_rooms=2&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=ht_id%3D213&srpvid=9a3a36b405230c95&srepoch=1720165941&all_sr_blocks=910168601_394061699_15_0_0&highlighted_blocks=910168601_394061699_15_0_0&matching_block_id=910168601_394061699_15_0_0&sr_pri_blocks=910168601_394061699_15_0_0__638176000&from_sustainable_property_sr=1&from=searchresults
5,Villa HOÀNG ĐỨC bãi sau free BIDA,"VND 3,992,240","VND 3,992,240",1.3 km from centre,Entire villa,300 m²,0,1.0,1.0,1.0,Villa,21,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,https://www.booking.com/hotel/vn/homestay-vali-bai-sau-gan-bien.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaPQBiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuALfh_mzBsACAdICJGVhYTdkNjZiLTQ5NjEtNDRlMy05YTkwLTRlZDA2NDgxYjQ2Y9gCBeACAQ&sid=20394c3452926236aad651478adb440c&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-14&checkout=2024-08-15&dest_id=-3733750&dest_type=city&group_adults=5&req_adults=5&no_rooms=2&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=ht_id%3D213&srpvid=9a3a36b405230c95&srepoch=1720165941&all_sr_blocks=1048561101_388835750_21_0_0&highlighted_blocks=1048561101_388835750_21_0_0&matching_block_id=1048561101_388835750_21_0_0&sr_pri_blocks=1048561101_388835750_21_0_0__399224000&from_sustainable_property_sr=1&from=searchresults
6,OrangeBlue villa near Beach Pool free Vung Tau Vietnam,"VND 14,400,000","VND 14,400,000",1.2 km from centre,Entire villa,550 m²,0,1.0,0.0,1.0,Villa,20,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0,https://www.booking.com/hotel/vn/orangeblue-villa-near-beach-pool-free-vung-tau-vietnam.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaPQBiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuALfh_mzBsACAdICJGVhYTdkNjZiLTQ5NjEtNDRlMy05YTkwLTRlZDA2NDgxYjQ2Y9gCBeACAQ&sid=20394c3452926236aad651478adb440c&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-14&checkout=2024-08-15&dest_id=-3733750&dest_type=city&group_adults=5&req_adults=5&no_rooms=2&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=ht_id%3D213&srpvid=9a3a36b405230c95&srepoch=1720165941&all_sr_blocks=1149713101_393124966_20_0_0&highlighted_blocks=1149713101_393124966_20_0_0&matching_block_id=1149713101_393124966_20_0_0&sr_pri_blocks=1149713101_393124966_20_0_0__1440000000&from_sustainable_property_sr=1&from=searchresults
7,Victory Villa 13 - Đi Bộ Ra Biển Bãi Sau,"VND 7,500,000","VND 7,500,000",1.9 km from centre,Entire villa,250 m²,0,1.0,1.0,1.0,Villa,15,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,https://www.booking.com/hotel/vn/victory-villa-13-di-bo-ra-bien-bai-sau.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaPQBiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuALfh_mzBsACAdICJGVhYTdkNjZiLTQ5NjEtNDRlMy05YTkwLTRlZDA2NDgxYjQ2Y9gCBeACAQ&sid=20394c3452926236aad651478adb440c&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-14&checkout=2024-08-15&dest_id=-3733750&dest_type=city&group_adults=5&req_adults=5&no_rooms=2&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=ht_id%3D213&srpvid=9a3a36b405230c95&srepoch=1720165941&all_sr_blocks=930073501_367866610_15_0_0&highlighted_blocks=930073501_367866610_15_0_0&matching_block_id=930073501_367866610_15_0_0&sr_pri_blocks=930073501_367866610_15_0_0__750000000&from_sustainable_property_sr=1&from=searchresults
8,Victory Villa 471 - Biệt Thự Hồ Bơi Gần Biển,"VND 3,000,000","VND 3,000,000",1.5 km from centre,Entire villa,250 m²,0,0.0,0.0,0.0,Villa,15,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,https://www.booking.com/hotel/vn/victory-villa-471.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaPQBiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuALfh_mzBsACAdICJGVhYTdkNjZiLTQ5NjEtNDRlMy05YTkwLTRlZDA2NDgxYjQ2Y9gCBeACAQ&sid=20394c3452926236aad651478adb440c&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-14&checkout=2024-08-15&dest_id=-3733750&dest_type=city&group_adults=5&req_adults=5&no_rooms=2&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=ht_id%3D213&srpvid=9a3a36b405230c95&srepoch=1720165941&all_sr_blocks=815530301_344007229_15_0_0&highlighted_blocks=815530301_344007229_15_0_0&matching_block_id=815530301_344007229_15_0_0&sr_pri_blocks=815530301_344007229_15_0_0__300000000&from_sustainable_property_sr=1&from=searchresults
9,Hoàng My Biệt Thự Hồ Bơi Full Tiện ích Gần quảng trường,"VND 3,771,360","VND 3,771,360",1.1 km from centre,Entire villa,234 m²,0,1.0,1.0,1.0,Villa,26,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,https://www.booking.com/hotel/vn/hoang-my-biet-thu-ho-boi-full-tien-ich-gan-quang-truong.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaPQBiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuALfh_mzBsACAdICJGVhYTdkNjZiLTQ5NjEtNDRlMy05YTkwLTRlZDA2NDgxYjQ2Y9gCBeACAQ&sid=20394c3452926236aad651478adb440c&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-14&checkout=2024-08-15&dest_id=-3733750&dest_type=city&group_adults=5&req_adults=5&no_rooms=2&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=ht_id%3D213&srpvid=9a3a36b405230c95&srepoch=1720165941&all_sr_blocks=1193484401_391650580_26_0_0&highlighted_blocks=1193484401_391650580_26_0_0&matching_block_id=1193484401_391650580_26_0_0&sr_pri_blocks=1193484401_391650580_26_0_0__377136000&from_sustainable_property_sr=1&from=searchresults
10,Villa Hồ Bơi 47 - Gần Biển Bãi Sau - Phòng Khách Có Máy Lạnh,"VND 3,750,000","VND 3,750,000",1.5 km from centre,Entire villa,300 m²,0,0.0,0.0,0.0,Villa,15,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,https://www.booking.com/hotel/vn/villa-ho-boi-47-gan-bien-bai-sau-phong-khach-co-may-lanh.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaPQBiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuALfh_mzBsACAdICJGVhYTdkNjZiLTQ5NjEtNDRlMy05YTkwLTRlZDA2NDgxYjQ2Y9gCBeACAQ&sid=20394c3452926236aad651478adb440c&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-14&checkout=2024-08-15&dest_id=-3733750&dest_type=city&group_adults=5&req_adults=5&no_rooms=2&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=ht_id%3D213&srpvid=9a3a36b405230c95&srepoch=1720165941&all_sr_blocks=1074478201_380045125_15_0_0&highlighted_blocks=1074478201_380045125_15_0_0&matching_block_id=1074478201_380045125_15_0_0&sr_pri_blocks=1074478201_380045125_15_0_0__375000000&from_sustainable_property_sr=1&from=searchresults
